placa,modelo,situacion (estatus),estado,tipo combustible,gps,verificado,km_recorridos,fecha_ultimo_servicio,anno
SCF-1001,International LT625,OPERATIVO,Región Norte,DIESEL,SI,SI,121739,2024-01-13,2019
SCF-1002,Kenworth T800,OPERATIVO,Región Central,DIESEL,SI,NO,239053,2024-03-12,2016
SCF-1003,International LT625,OPERATIVO,Región Central,GASOLINA,NO,SI,781646,2025-04-01,2023
SCF-1004,Scania R500,OPERATIVO,Región Oeste,DIESEL,SI,SI,624176,2024-08-04,2015
SCF-1005,Scania R500,OPERATIVO,Región Oeste,DIESEL,SI,NO,103246,2024-04-21,2018
SCF-1006,Peterbilt 579,OPERATIVO,Región Central,DIESEL,SI,SI,636262,2024-01-14,2023
SCF-1007,Kenworth T800,OPERATIVO,Región Sur,DIESEL,NO,SI,755800,2024-11-28,2023
SCF-1008,Volvo FH,OPERATIVO,Región Norte,GASOLINA,SI,NO,236148,2024-08-17,2024
SCF-1009,Freightliner Cascadia,OPERATIVO,Región Oeste,DIESEL,SI,SI,11814,2025-01-23,2017
SCF-1010,International LT625,OPERATIVO,Región Este,DIESEL,SI,SI,448143,2024-06-23,2019
SCF-1011,Kenworth T800,OPERATIVO,Región Norte,DIESEL,NO,NO,230772,2025-05-05,2020
SCF-1012,Scania R500,OPERATIVO,Región Central,DIESEL,SI,SI,102251,2024-07-13,2016
SCF-1013,Freightliner Cascadia,OPERATIVO,Región Central,GASOLINA,SI,SI,365663,2024-11-05,2019
SCF-1014,Scania R500,OPERATIVO,Región Oeste,DIESEL,SI,NO,770179,2024-08-23,2023
SCF-1015,Scania R500,OPERATIVO,Región Oeste,DIESEL,NO,SI,401922,2024-02-10,2023
SCF-1016,Freightliner Cascadia,OPERATIVO,Región Central,DIESEL,SI,SI,664176,2024-11-12,2020
SCF-1017,Peterbilt 579,OPERATIVO,Región Sur,DIESEL,SI,NO,206629,2024-12-26,2016
SCF-1018,Scania R500,OPERATIVO,Región Norte,GASOLINA,SI,SI,698384,2024-04-26,2019
SCF-1019,Scania R500,OPERATIVO,Región Oeste,DIESEL,NO,SI,249098,2025-03-19,2016
